team,games,poss,goals_for,goals_against,poss_against,nineties,shots_for,sot_for,shots_against,sot_against
Argentina,4,59.8,10,3,40.3,4.3,56,25,34,7
Belgium,4,57.8,8,4,42.3,4.3,92,25,46,13
Brazil,4,57.8,9,2,42.3,4.0,60,26,40,13
Canada,5,54.4,8,6,45.6,5.0,80,31,27,12
Colombia,4,60.5,5,1,39.5,4.0,79,27,36,5
Egypt,4,55.3,6,2,44.8,4.3,62,16,55,13
England,4,64.5,8,3,35.5,4.0,74,27,32,10
France,5,60.8,14,2,39.2,5.0,88,39,33,9
Mexico,4,48.5,8,0,51.5,4.0,50,16,32,6
Morocco,5,60.4,10,3,39.6,5.3,64,25,43,12
Norway,4,49.8,9,8,50.3,4.0,44,20,59,19
Paraguay,5,30.0,3,5,70.0,5.3,35,8,96,27
Portugal,4,61.8,7,2,38.3,4.0,52,15,52,16
Spain,4,68.3,7,0,31.8,4.0,78,26,19,3
Switzerland,4,57.5,9,3,42.5,4.0,56,23,33,16
United States,4,57.0,8,4,43.0,4.0,52,17,33,9
