team,p_QF,p_SF,p_final,p_champion
Spain,0.7024,0.53395,0.35905,0.22935
France,0.79955,0.57405,0.31385,0.1821
Argentina,0.84955,0.54305,0.32475,0.1776
Brazil,0.6191,0.3353,0.16945,0.0805
England,0.5437,0.3143,0.1687,0.07905
Colombia,0.57105,0.2567,0.12145,0.05295
Morocco,0.6396,0.2529,0.10125,0.0409
Mexico,0.4563,0.21125,0.0846,0.0316
Portugal,0.2976,0.16785,0.06735,0.02755
Switzerland,0.42895,0.1641,0.07205,0.0268
Belgium,0.55535,0.1704,0.0667,0.0249
Norway,0.3809,0.13915,0.0509,0.01585
United States,0.44465,0.1278,0.0444,0.0146
Canada,0.3604,0.0971,0.02865,0.0096
Paraguay,0.20045,0.07595,0.01875,0.0048
Egypt,0.15045,0.03615,0.0081,0.00185
