team,p_QF,p_SF,p_final,p_champion
Spain,0.8253,0.6392,0.4161,0.29445
Brazil,0.7566,0.44305,0.279,0.12795
France,0.91175,0.42165,0.1934,0.10325
Canada,0.53955,0.32015,0.158,0.09405
England,0.58865,0.3021,0.17115,0.0732
Argentina,0.74965,0.3681,0.16385,0.0651
Morocco,0.46045,0.2502,0.1183,0.06315
Colombia,0.50855,0.2972,0.13485,0.05125
Switzerland,0.49145,0.2854,0.13,0.0478
Mexico,0.41135,0.171,0.08,0.0302
Belgium,0.5703,0.1714,0.0619,0.02585
United States,0.4297,0.11365,0.0329,0.01
Norway,0.2434,0.08385,0.0325,0.007
Portugal,0.1747,0.07575,0.01895,0.0055
Egypt,0.25035,0.0493,0.00865,0.00125
Paraguay,0.08825,0.008,0.00045,0.0
