team,p_QF,p_SF,p_final,p_champion
Spain,0.66325,0.4973,0.32975,0.20425
Argentina,0.86015,0.5681,0.3508,0.19935
France,0.75785,0.572,0.325,0.1893
England,0.5542,0.32365,0.1662,0.07775
Brazil,0.585,0.3135,0.15195,0.07355
Colombia,0.5833,0.24895,0.1192,0.05055
Morocco,0.68665,0.25545,0.0973,0.03775
Portugal,0.33675,0.2003,0.08745,0.0359
Mexico,0.4458,0.2061,0.0795,0.02965
Switzerland,0.4167,0.1473,0.06595,0.02625
Belgium,0.53905,0.16715,0.06165,0.0218
Norway,0.415,0.15675,0.0577,0.02025
United States,0.46095,0.13525,0.0516,0.0187
Paraguay,0.24215,0.10485,0.02985,0.00865
Canada,0.31335,0.0677,0.0174,0.0042
Egypt,0.13985,0.03565,0.0087,0.0021
